Tempo	DP1	DP2	DP3	DP4	DP5
7,1	-1,085755128	7,2718787	14,634716	7,482519	9,148493
7,12	-1,44192876	3,9590807	12,700654	6,7261286	9,014449
7,14	-2,76321804	7,664436	8,861256	6,850598	9,033598
7,16	-5,70452328	12,116607	7,156984	7,4059224	9,512326
7,18	-6,1870812	9,062322	6,017611	7,482519	9,119769
7,2	-1,63724988	8,248484	5,2420716	7,2144313	8,947427
7,22	3,5789706	10,642124	4,284616	8,229335	9,64637
7,24	5,6355864	9,991054	4,2271686	8,5740185	9,225089
7,26	3,0849234	9,301685	4,782493	7,5591154	9,234664
7,28	0,005744736	8,392102	5,519734	8,7750845	9,129343
7,3	-1,49937612	8,803808	6,984642	9,158067	8,985725
7,32	-1,51086564	9,349558	7,7506065	8,076141	9,177217
7,34	-0,545749968	8,880404	8,085716	7,922949	8,928278
7,36	1,05128676	8,985725	9,004874	8,047418	8,918703
7,38	2,40704436	9,100619	10,632549	8,210186	8,937852
7,4	3,1768392	9,004874	11,312344	8,5740185	9,071896
7,42	3,0159864	8,861256	12,087883	8,937852	9,349558
7,44	2,75172876	8,995299	12,384694	9,167642	9,138918
7,46	2,43002352	8,928278	11,915541	9,3878565	8,995299
7,48	1,763634	8,947427	10,40276	9,119769	9,0814705
7,5	1,40746032	8,985725	10,393186	7,769756	8,957002
7,52	2,3381076	8,870831	9,560199	7,7506065	8,851681
7,54	4,0385496	9,043172	7,5974135	7,9803963	8,947427
7,56	4,1994024	9,148493	7,664436	6,9080453	9,138918
7,58	2,71726032	9,138918	7,089962	6,132506	9,20594
7,6	0,718092	9,225089	6,6878304	5,634629	8,947427
7,62	0,37340784	9,54105	7,3197513	5,7303743	9,119769
7,64	1,62576036	9,493176	9,665519	6,2952733	9,004874
7,66	2,34959712	9,64637	14,155988	5,912291	9,18679
7,68	3,61343904	9,253813	15,209189	10,000628	9,215514
7,7	0,832986756	9,177217	8,918703	14,462374	9,5889225
7,72	-2,29214976	9,29211	7,2144313	10,862339	9,493176
7,74	-2,25768144	10,441058	10,986808	11,522984	9,713391
7,76	1,8555498	12,269799	10,527229	9,31126	10,632549
7,78	4,00408116	12,834699	9,75169	8,286782	12,288948
7,8	1,62576036	13,8879	9,742115	10,105948	12,0400095
7,82	-0,924902556	14,74961	9,770839	9,933606	11,207023
7,84	-1,14320256	14,988975	10,019777	9,320834	12,001712
7,86	-0,832986756	14,002794	9,608071	9,445304	13,275128
7,88	-1,39597092	14,692163	9,091045	9,569773	13,600663
7,9	-1,30405512	14,299606	9,225089	9,272962	12,403843
7,92	-0,109149996	13,734707	9,54105	9,349558	12,719804
7,94	0,63766572	12,69108	9,464453	9,320834	11,886817
7,96	-0,60319734	10,19212	9,493176	9,138918	9,64637
7,98	-2,154276	2,9346027	9,464453	9,5219	8,995299
8	-2,17725504	2,101616	9,407005	9,397431	10,105948
8,02	-0,69511308	7,4537954	9,215514	9,359133	7,7314577
8,04	0,49979208	7,329326	9,215514	9,330409	5,567607
8,06	0,235534176	2,5228968	9,378282	9,177217	5,979313
8,08	-1,29256572	1,9388485	9,349558	9,2825365	5,0122824
8,1	-1,86703932	5,787822	9,349558	9,263388	4,916537
8,12	-0,545749968	6,630383	9,0814705	9,215514	5,7495236
8,14	-0,741070956	5,155901	9,29211	8,966576	5,500585
8,16	-0,97086048	4,935686	9,158067	9,272962	5,998462
8,18	-0,270002604	5,366541	8,870831	9,091045	5,4431376
8,2	-0,568728876	5,7112255	9,215514	9,158067	4,83994
8,22	-0,59170782	6,2474008	9,138918	9,129343	5,0122824
8,24	-0,235534176	7,664436	9,158067	9,014449	5,6633525
8,26	-0,63766572	9,033598	9,071896	8,9761505	6,7931504
8,28	-0,832986756	9,474028	9,234664	9,119769	8,717637
8,3	-0,7066026	9,167642	9,493176	9,052747	9,043172
8,32	-0,718092	8,621892	9,359133	9,024023	8,688913
8,34	-0,488302584	8,028269	9,378282	9,004874	9,426155
8,36	-0,534260484	6,8122997	9,225089	9,215514	10,326163
8,38	-0,82149732	5,2899446	9,100619	8,918703	10,460207
8,4	-1,01681832	4,351638	9,407005	9,062322	9,943181
8,42	-1,005328848	3,3367343	9,933606	9,148493	9,512326
8,44	-0,75256044	4,2558923	10,843189	9,655944	10,412334
8,46	0,005744736	10,603826	13,23683	9,96233	10,29744
8,48	0,29298156	19,603912	13,581514	10,393186	7,2335806
8,5	-0,718092	7,855927	13,648536	11,178299	6,4963393
8,52	-1,2810762	4,849515	15,123018	12,834699	7,654861
8,54	-0,201065772	10,010203	15,707067	13,265553	7,2240057
8,56	2,95853916	7,8655014	14,567694	12,298523	6,831449
8,58	4,4981286	8,593168	13,629387	12,509163	9,828286
8,6	2,39555496	9,5889225	12,681505	12,164479	14,64429
8,62	-0,361918404	8,679339	11,609155	12,940019	14,845356
8,64	-3,22279704	7,9803963	8,143164	10,814466	8,23891
8,66	-2,94704964	10,699572	6,285699	8,2676325	15,448553
8,68	-1,372992	11,034681	5,261221	7,501668	10,019777
8,7	0,568728876	8,124015	4,3707867	6,0750585	6,716554
8,72	0,281492076	8,746361	5,299519	5,9027166	9,464453
8,74	0,040213152	9,655944	4,993133	6,525063	11,293194
8,76	-0,25851312	9,636795	5,347392	7,0612383	9,196365
8,78	-1,07426568	9,014449	5,653778	6,4963393	8,286782
8,8	-0,947881512	9,091045	6,668681	5,519734	10,661273
8,82	0,832986756	9,234664	7,46337	5,8548436	11,178299
8,84	2,20023396	9,024023	7,7793303	6,027186	6,936769
8,86	2,6942814	8,928278	8,545295	6,2761245	6,2378263
